"","I_D","FLAG_TSUNAMI","YEAR","MONTH","DAY","HOUR","FOCAL_DEPTH","EQ_PRIMARY","COUNTRY","LATITUDE","LONGITUDE","REGION_CODE","DAMAGE_DESCRIPTION","CONTINENT","LOCATION","DATE","TIME"
"1",3069,"",1917,1,4,16,NA,6.3,"TAIWAN",23.9,120.9,30,1,"Asia","TAIWAN:  PULI","1917/1/4","16:50:6"
"2",3073,"",1917,1,24,0,NA,6.3,"CHINA",31.3,116.2,30,3,"Asia","CHINA:  ANHUI PROVINCE:","1917/1/24","0:48:12"
"3",6267,"Tsu",1917,1,25,NA,NA,6.5,"CHINA",24.47,118.08,30,NA,"Asia","CHINA:  FUJIAN PROVINCE: OFF COAST","1917/1/25",NA
"4",3074,"",1917,1,29,8,13,5.6,"SLOVENIA",45.9,15.6,130,3,"Europe","BALKANS NW:  SLOVENIA:  BREZICE","1917/1/29",NA
"5",3076,"Tsu",1917,1,30,2,40,7.8,"RUSSIA",56.5,163,50,NA,"Asia","RUSSIA:  KAMCHATKA","1917/1/30","2:45:36"
"6",3078,"Tsu",1917,1,31,3,NA,6.4,"PHILIPPINES",6,125,170,2,"Asia","PHILIPPINES:  S MINDANAO:  GLAN,GLAN PADIDU,TUYAN","1917/1/31","3:39:55"
"7",3080,"",1917,4,26,9,33,5.5,"ITALY",43.5,12.1,130,NA,"Europe","ITALY:  CITERNA","1917/4/26",NA
"8",6268,"Tsu",1917,5,6,12,33,5.8,"TAIWAN",23.2,121.6,30,NA,"Asia","TAIWAN","1917/5/6",NA
"9",3088,"",1917,7,4,0,60,7.7,"TAIWAN",25,123,30,NA,"Asia","TAIWAN:  NE OF TAIWAN","1917/7/4","0:38:20"
"10",3090,"",1917,7,30,23,33,6.8,"CHINA",28,104,30,4,"Asia","CHINA:  YUNNAN PROVINCE","1917/7/30","23:54:5"
"11",3091,"",1917,7,31,3,460,7.5,"CHINA",42.5,131,30,NA,"Asia","CHINA:  JILIN PROVINCE","1917/7/31","3:23:10"
"12",3106,"",1918,1,30,21,350,7.7,"RUSSIA",45.4,136.5,50,NA,"Asia","RUSSIA:  E COAST OF","1918/1/30","21:18:33"
"13",3109,"",1918,2,7,5,120,7.5,"PHILIPPINES",6.5,126.5,170,NA,"Asia","PHILIPPINES:  MINDANAO","1918/2/7","5:20:30"
"14",3110,"Tsu",1918,2,13,6,23,7.3,"CHINA",23.5,117.2,30,4,"Asia","CHINA:  GUANGDONG PROVINCE","1918/2/13","6:7:13"
"15",3115,"",1918,7,8,10,60,7.6,"BANGLADESH",24.5,91,60,2,"Asia","BANGLADESH:  SRIMANGAL","1918/7/8","10:22:7"
"16",8101,"Tsu",1918,8,14,NA,NA,5.5,"CHINA",26.9,103,30,1,"Asia","CHINA:  YUNNAN PROVINCE","1918/8/14",NA
"17",3116,"Tsu",1918,8,15,12,33,8.3,"PHILIPPINES",5.5,123,170,3,"Asia","PHILIPPINES:  MINDANAO:  COTABATO","1918/8/15","12:18:12"
